Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Artist Name(s),Album Release Date,Track Duration (ms),Track Preview URL,Explicit,Popularity,Artist Genres
spotify:track:0E4Y1XIbs8GrAT1YqVy6dq,Afterglow,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,spotify:album:5bb2Sf8jps2DTyI2urMThV,Ed Sheeran,12/21/2020,185486,https://p.scdn.co/mp3-preview/25165d1fe48fcd45cb91ebbbbd1a0056f236476b?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,66,"pop,singer-songwriter pop,uk pop"
spotify:track:6iZTQ7OJ0B4Z4Lij5o7Ub0,Say My Name,spotify:artist:2QSPrJfYeRXaltEEiriXN9,Tove Styrke,spotify:album:1bNiDHGgQOVMnuk2H0M8BQ,Tove Styrke,4/28/2017,203250,https://p.scdn.co/mp3-preview/ce82371b955b6d783f80163d0729e9513f964286?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,30,"electropop,swedish electropop,swedish pop,swedish synthpop"
spotify:track:39IA9GoPnfM9ZNQVoekKXh,Spray On Pants,spotify:artist:21wuAm9OFJEeN7h3EozO0r,Kisschasy,spotify:album:5MnKpoZxGlfUgDtlgoLIC8,Kisschasy,2007,227186,https://p.scdn.co/mp3-preview/cbfb2cb63f8bb2b535baa40250063497621b39f7?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,31,"aussie emo,australian alternative rock,australian indie"
spotify:track:5teCpJlMjeP4ycz9LmCA8D,Sober,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,spotify:album:2x1iOiIOZtPA4QEVBlpexp,Childish Gambino,10/6/2014,252013,https://p.scdn.co/mp3-preview/4b8809e41adc3feffa3ee2ae30b6e04585d54b84?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,"atl hip hop,hip hop,rap"
spotify:track:0KaU5T2268e0B1tKSVsiah,This Is Love,"spotify:artist:085pc2PYOi8bGKj0PNjekA, spotify:artist:2d6W4cnC5XsVOaxtgaj9hA","will.i.am, Eva Simons",spotify:album:6H7mXPXFFDOpby7Xcke1vh,will.i.am,1/1/2013,279026,https://p.scdn.co/mp3-preview/0b05b9eb8abcc2d6ff076f1300faa32d8a1627a2?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,"dance pop,pop,dutch pop"
spotify:track:2sY0M3k69oAYz7EOPVRFjo,Big Girl (You Are Beautiful),spotify:artist:5MmVJVhhYKQ86izuGHzJYA,MIKA,spotify:album:6oIaXBTIZ2Q9cJKBgrZ2Ox,MIKA,1/1/2006,248000,https://p.scdn.co/mp3-preview/ab1a1a2f13dd9743f50913bdebbca5dddf70953d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,55,electropop
spotify:track:4NoyxIVBKBfhLtGPVH4wyP,Tattoo,spotify:artist:2AQjGvtT0pFYfxR3neFcvz,Jordin Sparks,spotify:album:6uADeQqYkdZqctA1AO6riB,Jordin Sparks,11/20/2007,233466,https://p.scdn.co/mp3-preview/f66621e67ea7213bdb828b61b08a01b09ca03d23?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,"dance pop,pop,post-teen pop,urban contemporary"
spotify:track:34rpxZkKF8pUozfwBK9lSG,Love Long Distance,spotify:artist:3sFTupo9UGgrujjN21BjwR,Gossip,spotify:album:2mZLwfD2mGi91rjj9O3aN3,Gossip,10/30/2009,264826,https://p.scdn.co/mp3-preview/fa2a2c60ce2b52ca830c1a0551aecf5d9ebc8387?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,7,"alternative dance,electroclash,new rave,olympia wa indie"
spotify:track:1JfBYDZya2fuNprM5EA0L8,See See Rider,spotify:artist:70tMW5bZT3TJUa1CWtfVkq,Eric Burdon & the Animals,spotify:album:3oAKJWMt9Ol8W5vkOQrBNf,Eric Burdon & the Animals,1/17/2011,245456,https://p.scdn.co/mp3-preview/72404c3efdf93a9af847d2c8fe8792aee0f642f5?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,14,"british invasion,classic rock,folk rock"
spotify:track:2m0M7YqCy4lXfedh18qd8N,Into the Groove,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,Madonna,spotify:album:43lok9zd7BW5CoYkXZs7S0,Madonna,9/18/2009,285093,https://p.scdn.co/mp3-preview/7f9afcf0c02dd6e52e98cc55ae9c2389c5e35fd0?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,62,"dance pop,pop"
spotify:track:6aiKIFjPwa3UvDCD5ecoJj,Whenever You Need Somebody,spotify:artist:0gxyHStUsqpMadRV0Di1Qt,Rick Astley,spotify:album:6N9PS4QXF1D0OWPk0Sxtb4,Rick Astley,11/12/1987,233666,https://p.scdn.co/mp3-preview/37d0ae538df83108ed2b2da8e94a133f9bb1ea56?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,"new romantic,new wave pop,soft rock,sophisti-pop,synthpop"
spotify:track:1tFgbvRzyEaIhnVRqCwJy9,Out Of Mind Out Of Sight,spotify:artist:2k0zkxxRvJKwiHQq5QfjYn,Models,spotify:album:2I0dTsIaTMvqbg23xSbbjH,Models,1985,217466,https://p.scdn.co/mp3-preview/205c1336c07f128c1b77891ece2d429867c24e07?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,44,australian rock
spotify:track:6ejipC6dh8CGi2WiUACOvN,You Really Got Me,spotify:artist:2cnMpRsOVqtPMfq7YiFE6K,Van Halen,spotify:album:7G2PY8yve3Db0PeGsosb4x,Van Halen,2/7/1978,157640,https://p.scdn.co/mp3-preview/5ea4566225b76e5899597d8d820ba001db0292be?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,"album rock,classic rock,hard rock,rock"
spotify:track:756xOfT6UoTgkf0w8PnVIC,Keep Me Crazy,spotify:artist:6VxCmtR7S3yz4vnzsJqhSV,Sheppard,spotify:album:1ZNpLRqIe6ISM0kEMfqqIZ,Sheppard,3/10/2017,196953,https://p.scdn.co/mp3-preview/5eac7c3bb51cf19e8daef1af544ef8ba41028a12?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,22,"australian indie,australian pop,folk-pop"
spotify:track:2Hvc7KrkQo8bdLbOdDNOk5,Home,"spotify:artist:1bT7m67vi78r2oqvxrP3X5, spotify:artist:4b8dLpJgJpNQYzu4AtXLt3","Naughty Boy, RØMANS",spotify:album:18uQZjRGg80okeaeg5bhgq,Naughty Boy,1/1/2013,205065,https://p.scdn.co/mp3-preview/2d59635114322a017b02f5a553c80c9a64df3798?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,28,"uk contemporary r&b,uk pop"
spotify:track:735rjks7kQgWCjTQlIHMuH,Head over Feet - 2015 Remaster,spotify:artist:6ogn9necmbUdCppmNnGOdi,Alanis Morissette,spotify:album:5Ap3F8CxjjsQKZGASDcHNA,Alanis Morissette,1995,267293,https://p.scdn.co/mp3-preview/1a66a41631f4c58973ecb338ed9305ad2a802d23?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,62,"canadian pop,canadian singer-songwriter,lilith,neo mellow,pop rock,singer-songwriter"
spotify:track:3u15HIfwOuesnY5Bn27eXm,Looking for an Echo,spotify:artist:3UmfCgpdKzg2WTa6453o4E,Ol' 55,spotify:album:776mBHwcQXD39eBSqmR3eQ,Ol' 55,1976,205266,https://p.scdn.co/mp3-preview/035fe026bee8ad08375e76fe4e5341f32ce41576?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,30,australian rock
spotify:track:3CrOmXikSbhPlvEj67NVOV,Mother's Daughter,spotify:artist:5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,spotify:album:0MpriJa1c1RxO45SaTCvls,Miley Cyrus,5/31/2019,219080,https://p.scdn.co/mp3-preview/91b43868ba719fb45fd9f7c6f4809e7556d99639?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,0,pop
spotify:track:428Dl0NOBojmUS98R2pDHr,Heavy Cross,spotify:artist:3sFTupo9UGgrujjN21BjwR,Gossip,spotify:album:1GB8gZTSdbiup5FzxNknRo,Gossip,6/22/2009,242773,https://p.scdn.co/mp3-preview/a3f628859543899d64b04d49b1833bb7c90f464d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,53,"alternative dance,electroclash,new rave,olympia wa indie"
spotify:track:3aw9iWUQ3VrPQltgwvN9Xu,Family Affair,spotify:artist:1XkoF8ryArs86LZvFOkbyr,Mary J. Blige,spotify:album:5QJmKwPveBV4IwLlo4OcG4,Mary J. Blige,8/28/2001,265866,https://p.scdn.co/mp3-preview/2b7bfcc9c6e074b70ca3bdb219c174d7c8133116?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,78,"dance pop,hip pop,neo soul,r&b,urban contemporary"
spotify:track:3uhO8R46JUCJiEPTpleVcN,Put Your Hands Up,spotify:artist:3Ngh2zDBRPEriyxQDAMKd1,Matchbox Twenty,spotify:album:7GHROYaPxZr0dRMYQ7xHHu,Matchbox Twenty,11/8/2013,173120,https://p.scdn.co/mp3-preview/55e8e9319f539ced2c28b5a0d92b5b7a99522044?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,19,"neo mellow,pop rock,post-grunge"
